img,title,url,best_price,product_id
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    HP 15g-dr0006tx (4ZD61PA) Laptop
                ",https://www.mysmartprice.com/computer/hp-15g-dr0006tx-4zd61pa-laptop-msf576735,"55,490",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    HP 15s-fq2670TU (6N043PA) Laptop
                ",https://www.mysmartprice.com/computer/hp-15s-fq2670tu-6n043pa-laptop-msf598234,"38,490",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    ASUS VivoBook 15 X510UA-EJ1223T Laptop
                ",https://www.mysmartprice.com/computer/asus-asus-vivobook-15-x510ua-ej1223t-laptop-msf576097,"39,298",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    ASUS ZenBook 13 UX333FA-A4116T Laptop
                ",https://www.mysmartprice.com/computer/asus-asus-zenbook-13-ux333fa-a4116t-laptop-msf576187,"65,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    ASUS ROG Zephyrus G14 GA402RJZ-L4136WS Laptop
                ",https://www.mysmartprice.com/computer/asus-asus-rog-zephyrus-g14-ga402rjz-l4136ws-laptop-msf598479,"130,990",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    HP Envy x360 13-ay1065AU (6H8V9PA) Laptop
                ",https://www.mysmartprice.com/computer/hp-envy-x360-13-ay1065au-6h8v9pa-laptop-msf598683,"74,499",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Lenovo Ideapad Gaming 3i (81Y400VAIN) Laptop
                ",https://www.mysmartprice.com/computer/lenovo-ideapad-gaming-3i-81y400vain-laptop-msf583526,"89,000",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    HP Envy Intel Evo 13-ba1501TX (457N7PA) Laptop
                ",https://www.mysmartprice.com/computer/hp-envy-intel-evo-13-ba1501tx-457n7pa-laptop-msf588044,"81,999",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Dell Vostro 5625 (D552265WIN9S) Laptop
                ",https://www.mysmartprice.com/computer/dell-vostro-5625-d552265win9s-laptop-msf598688,"76,000",
https://assets.mspimages.in/logos/mysmartprice/owl/tr:w-70/lazy.png,"
                    Lenovo V14 Gen 2 (82KAA057IH) Laptop
                ",https://www.mysmartprice.com/computer/lenovo-v14-gen-2-82kaa057ih-laptop-msf598529,"31,800",
